betaCC,betaCI,betaIC,betaII,alpha,lik,ExactAge,AgeGroup,StudyID
30,30,30,14.115055496816,0.0843607523442984,18.7859820675233,14.076712328767124,Adolescents,94
7.24285611057965,8.57349988234746,6.79342919611065,1e-6,0.0877675601749429,84.2894070732413,8.07945205479452,Children,95
20.1174188511451,13.2702071586842,9.92396283000145,11.7427051349107,0.0429336201130798,68.1868200865621,20.48493150684931,Adults,96
30,20.8781338070809,20.6838444817558,30,0.0157572245778644,71.3400323231445,11.484931506849316,Children,97
0.35304968244942603,0.542714876069437,0.268216063213669,1e-6,1,123.366417009441,10.73972602739726,Children,98
1e-6,9.40046070014094,1e-6,30,0.0130291972921225,109.148549178263,20.687671232876713,Adults,99
8.91808719976043,8.9554502082353,11.3059223475754,4.80332726060481,0.10058642432759,60.1157819859689,20.312328767123287,Adults,100
4.15200562592383,0.980657351230299,1.52886578653428,1e-6,0.378302414765653,111.439547472138,10.38082191780822,Children,101
1e-6,1e-6,0.501229362559449,0.752687652393282,1,122.242367535641,17.22739726027397,Adolescents,102
22.7157647286775,29.2164623518484,30,23.1874581281433,0.00514147967748121,104.289615380975,10.145205479452056,Children,103
18.122989107876,2.78182608057692,30,1e-6,0.0288675112540449,79.6297242178381,10.084931506849315,Children,104
14.5262885343471,30,4.00404716893223,10.7670951995406,0.0431702895768495,55.7084614751081,17.23835616438356,Adolescents,105
1e-6,30,30,6.33676075079089,0.0316419609730528,81.0606287556547,12.115068493150686,Children,106
30,24.130663308272,16.3377712023501,30,0.122599152393532,30.5938592440459,18.361643835616437,Adults,107
4.62576965725929,22.2287884667621,18.7914529262869,30,0.0360588325118581,81.2738053866248,11.90958904109589,Children,108
0.0380903764088482,1e-6,0.271900476669702,1e-6,1,124.42287962384,8.202739726027398,Children,109
30,6.81854721460022,1e-6,14.4128611653693,0.00350921365479788,123.491767082914,12.101369863013698,Children,110
9.14681531798578,1e-6,1e-6,1e-6,0.00651500503802188,124.404820645698,10.2,Children,111
1e-6,0.775412766671863,0.272701083977804,1e-6,0.231290385556897,123.992221587651,10.9013698630137,Children,112
30,5.25095594000099,9.35621394450203,8.60108213483612,0.0514411855438072,76.806941882551,17.345205479452055,Adolescents,113
14.4034926133476,10.0594368313576,6.14915836704934,2.66214122858716,0.0657507214304194,78.2036446583561,18.106849315068494,Adults,114
0.783534832920463,0.160832327359796,3.42038927841872,0.36121640724597,0.219180463427753,119.533456712028,11.07945205479452,Children,115
20.2207541863994,15.8913026253702,2.48162584039901,3.6644986336113,0.0764062964174547,87.9537586229977,11.186301369863012,Children,116
1.71311692551644,0.583492553623055,1e-6,1e-6,0.113655734112154,122.185973999933,17.934246575342467,Adolescents,117
30,4.19181201759591,19.5069779652243,8.27489932299822,0.146239564391716,38.8208412404477,19.167123287671235,Adults,118
14.3737150245006,30,12.1612785578921,14.6625905178519,0.0712612826805959,28.5214271312571,19.46849315068493,Adults,119
1e-6,1.94557457529785,1e-6,30,0.00494916621536201,117.218314915865,8.038356164383561,Children,120
5.00429481577325,2.82960773382528,0.478430078820102,1e-6,0.256285388654408,103.571787337606,18.39178082191781,Adults,121
