StudyID,beta_in,alpha_cc_in,alpha_ci_in,alpha_ic_in,alpha_ii_in,lik_in,beta_out,alpha_cc_out,alpha_ci_out,alpha_ic_out,alpha_ii_out,lik_out
44,4.00367077495794,1,0.307281280225009,0.0184817783099017,0.677271296863021,-69.083712579453,5.8315287569495204,1,0.363187673507637,5.2329604542081e-4,0.872690487584324,64.7702737204743
45,30,0.0678739002233872,0,0.199687512299995,0.00612435816927002,-75.0126746522582,19.3313022583341,0.205408793970499,1.5217374726297e-4,0.249771009539269,0.00450477870674596,70.6320407748222
46,16.6070161436582,0.0162152713009822,0.0641881020742191,0.102984850643712,3.2330300437191e-4,-76.3913738073438,16.8481716932929,0.0121818415172769,0.0574286230854067,0.127718680916879,0.00558267209312058,75.1851932172403
47,3.81893931904174,0.0117421571367284,0,0,0.00142247427324707,-125.025694124864,0.632570291531681,0.012580360621223,0.455916674687519,0.942426359135887,0,122.616090660453
48,1.85522771056508,1,1,0.146027660695046,0.0483735337392115,-105.518605044032,1.85056966889012,0.89853976487296,0.982637604734887,0.462032800547315,0.00297479453776401,103.787140798521
49,0.915450015348728,0.133092984778136,0.60995334462062,0.0807484154235926,0.0131040924501694,-119.837833938411,1.00000000013978e-6,0,0,0,0,124.76649250079
50,30,0,1,1,0,-90.1091340846021,30,0.00264425382567829,1,1,0,89.3008117391166
51,30,0.105489761765183,0,0.0184817783099017,0,-80.7833331417825,30,0.0500111909688472,0,0.0218805083913314,0.00107341891011149,78.6095327776944
52,30,0,0.19697184677967,0.0332363713897803,0.0829936104321266,-42.8279212958783,22.4438922001429,0.00163814064935683,0.367271103491692,0.0492970756134598,0.299506953714023,41.6066872746367
53,0.915450015348728,0.0537819334530174,0,0.361708914130482,0,-122.713531117842,2.13196331243487,0.140481389810375,0.00852490294571515,0.104407415303755,0,120.900822940191
54,30,0.239964648842137,1,0.0241145421849371,0,-49.3159585044384,30,0.273725927063295,1,0.0349214514308879,4.4231601967039e-4,48.3638375762644
55,30,0,0.0697639594277466,1,0.112544933443278,-51.9195757487196,30,0,0.0648033648295769,1,0.102424545420484,51.8590359953795
56,17.9712246761252,0.0537819334530174,0.0301464534896407,-3.46944695195361e-18,0.913371536483205,-66.1864887601866,12.344509730598901,0.519905989053992,0.0449297845955003,0,0.74769039201387,63.1133166309025
57,30,0.0180201342087016,0,0,0.132967355293042,-77.3222233502903,30,0.0184309290290066,6.72231040047866e-8,0,0.131716454196907,77.3198552050627
58,8.86196589662013,1,0.104915680859734,0,0,-95.608515477397,12.5567023186634,1,0.0374139268512699,0,0,94.6574868807515
59,1.56218760935777,0.0210438385784497,0,0.0111504430407385,0,-124.080051752492,0.892919446153799,0.0857168502265114,0.234406949109113,0.626117758122905,0.103831384330063,121.838641713298
60,16.6070161436582,0.0695819335459521,0.929950805276214,0,0.0650238602279012,-57.5417990922321,30,0.033736307507086,0.859556137217347,4.9249807308109e-4,0.035271755472765,55.3044545122429
61,30,0,0,0.0252769102075197,0,-104.100788315901,3.31673873369105,0,0,1,0,111.265153065318
62,0.915450015348728,0.138426587985263,0.0515719630053888,0.247087638027846,0,-121.791540454139,1.11470297477448,0.185555044679643,0.0498560540623099,0.692999956599629,0,120.914911098612
63,12.341140821365,0,0.0641881020742191,0.0196174112740039,0.00543225357316617,-102.220259115484,14.0812113868511,4.5850675586988e-4,0.0302133622292757,0.018606717903781,0.00216485900174979,99.960840413548
64,30,0.105489761765183,0.021677960707705,0.0175648281400525,0,-66.8590708859445,30,0.168139988884404,0.0341528577102338,0.00912976312480847,4.4770718915313e-4,61.5482217579876
65,2.01955522777253,0.161679656237421,0,0,0,-117.982218132215,1.06855230148242,0.456306977592881,0,0.0899606239118322,1,119.075204403387
66,0.293829050566935,0,0,0.0361234033353882,0,-124.783514312076,9.999999992516e-7,0,0,0,-1.11022302462516e-16,124.76649250079
67,1.46261759763776,0.0295511708878034,0.0301464534896407,0.0483365339524666,0.253682606675516,-121.320058348844,1.00000000102796e-6,0,0,0,-1.11022302462516e-16,124.76649250079
68,30,0.0562177125387949,0.0213583280220753,0.0558450346369293,0.00142247427324707,-50.1268364480578,30,0.0477818222186576,0.0367422186471216,0.0435097114688042,0.00139670370008482,49.13639196086
69,30,0.0292855776606502,0,0.616343783397115,0.0382938743240098,-51.7970317018112,14.7325493120538,0.0971558203957735,0.00338918097302807,0.588581158198518,0.0973994524358837,51.4609604212797
70,9.4689973777871,0.0881881954765364,0.129966299632384,0.0807484154235926,0,-62.5780406573439,8.34807998654591,0.104078302207143,0.309653013801204,0.594079237029765,1.5386056373778e-4,58.4359975889434
71,30,0.60469884748198,0,0,0.0275207646219959,-77.8046884844242,11.7493628081626,0.662053904990692,0,0,0.17447711185563,76.845917641773
72,0.663812184376026,0.0562177125387949,0.189830554540475,0,0,-123.449246346374,1.00000000102796e-6,0,0,0,0,124.76649250079
73,3.11045175463033,1,0.26813538857887,0,0.253682606675516,-97.0874890614602,4.0747467640588,0.96874256446513,0.135590020917622,0,0.238592717129135,95.7773432404529
74,0.606196378906366,0.0100682973729437,0,1,0.0146089647931259,-121.276813008819,1.41907278135682,0.010492536137445,0,1,0.0371506907116543,119.618529074467
75,0.606196378906366,0.832003853187842,0.00763441250690108,0.0116399585519392,0,-123.553300181027,1.20654540066328,0.134724349841005,0,0.369419083189893,0.042498865625053,121.487966243903
76,12.8344986538686,0.182201549177872,0,0.0767785099783537,0.00415443530294646,-77.9951020458657,30,0.0218752832505257,2.9342900818765e-4,0.0271245634530947,0.00295372690370979,76.3805518762066
77,4.97181033646044,0.0253900996073257,0.139391421546515,1,0,-98.0266306376086,3.55408188815105,0.11998340394173,0.17975155525237,1,0.0141454092940765,95.1271301258933
78,23.4909158963067,0,0.0376881234361289,0,0.484329384703317,-71.7670195291387,29.8335066643085,0.00320916511225418,0.0772853187673881,0,0.514711246818986,68.3527667562334
79,30,0.00143992686052057,0.0296911448690628,0,0,-105.588207670261,30,3.0902651672724e-4,0.0432845816850214,0.00100532123850268,0,104.089520965717
80,9.4689973777871,0,0.0194788421095137,0.0523977578808757,0.0650238602279012,-93.7710620937122,13.7268297029559,0.00469179280901273,0.00710560124959001,0.0695167428997641,0.0305725163880665,89.3355248901767
81,22.3543758398682,0.0970604598937489,0.0697639594277466,0,0.693575407481356,-39.7302095029691,30,0.073243018883384,0.116049188795709,0,0.686911311283814,38.3140186369335
