StudyID,beta_cc_in,beta_ci_in,beta_ic_in,beta_ii_in,alpha_in,lik_in,beta_cc_out,beta_ci_out,beta_ic_out,beta_ii_out,alpha_out,lik_out
103,0.272230300773329,13.1756992321367,4.10844308352715,0.515970812686577,0.966847655931994,-88.4071113894569,1e-6,30,29.7141565989796,0.380566482892437,1,85.4300873113127
104,0.386340310997678,0.397247489230644,0.0440629987134507,30,0.0431702895768495,-106.264796205767,2.93025210567726,1e-6,1e-6,30,0.0296513753294338,104.804103021568
105,4.15200562592383,30,24.3009402191725,4.51058586387863,0.145398521599863,-56.3716208867813,2.99320830431333,30,24.3514932103345,3.47541986834163,0.0955672489958222,52.6469375367552
106,9.35474724211512,30,19.596725479216,1e-6,0.0712612826805959,-51.4330709295185,10.7092680384175,14.9100001660989,30,0.95519248298533,0.112172739865357,48.7371873853217
107,14.3737150245006,1e-6,1e-6,0.30693517781707,0.10058642432759,-98.3555466184586,11.4241608644026,0.0885084089868551,0.937257666657609,0.341945969249597,0.266226984875409,96.7553577865704
108,0.0380903764088482,1e-6,30,4.51058586387863,0.07359859333656,-97.2217138486747,1e-6,1e-6,30,2.33266114057116,0.0973187558722528,95.8011961778331
109,0.813767738099426,3.25830131346829,6.70558038153106,0.660412026029122,0.145398521599863,-99.5890634174212,2.35605388201497,8.62586004496063,30,1e-6,0.03413726670657,97.672408585271
110,9.35474724211512,0.980657351230299,27.7513626569252,1e-6,0.00979534795660335,-119.071059887508,1.55377840902512,3.33548049060673,30,1e-6,0.00974024241020342,117.960259640389
111,30,0.775412766671863,1e-6,7.25648245457014,0.0527023704670306,-99.4760518589079,30,3.97260872530142,0.16820572931307,16.3492208225781,0.0242164903862394,95.1509192193318
112,1e-6,0.872893142971089,17.6727653857895,1e-6,0.0500796848566604,-98.0525841078165,1e-6,4.03879687216027,30,1e-6,0.0326369703100387,96.0129141583255
113,30,1e-6,2.56767106319438,23.4664791707569,0.0157572245778644,-89.4272410055623,30,0.428874648916141,1e-6,21.4787419150164,0.0198036987193947,87.6393741222049
114,4.40187107820007,6.85018885833395,0.442654275499686,19.6054840174403,0.00651500503802188,-118.609613119476,1e-6,0.384424820387613,0.0318911087174713,2.71225444694734,0.59091403894027,113.536022134681
115,2.58286506285214,4.19181201759591,3.95942430905192,23.1874581281433,0.0122119148723906,-109.109132643336,9.62148859790488,9.83004852850666,12.8581869856301,30,0.00741770100346937,107.700740510671
116,0.670844279338759,0.618265862471404,1e-6,1e-6,0.116233807752689,-122.842731014738,0.391791392723561,1.52242879801289,0.545088043268698,0.00758647830267188,0.544540043780519,120.331527148165
117,18.5264050780208,1.13480028261316,1.46378753096025,0.515970812686577,0.116233807752689,-105.44917982185,10.484239566016,1.14436808288925,0.987115636054654,0.49936046906796,0.162781321644729,104.046682552782
118,14.3737150245006,1e-6,30,1.01011628202244,0.0431702895768495,-81.3581257298219,7.43396200908733,1.03730762493183,29.1466610460313,0.723558199764068,0.0855160176913197,79.2039908302407
119,4.40187107820007,20.8781338070809,17.6727653857895,0.259730949410455,0.075355943503079,-82.4238435174972,2.8623476057955,9.98044660963308,7.7669087661068,0.945503378799615,0.225857213637938,79.0496897651419
120,1e-6,30,30,0.278979237216525,0.116233807752689,-66.0991006116247,1.07932281378701,30,30,0.742852004896259,0.136340567313807,64.6455397403495
121,0.498465127831582,30,17.6727653857895,10.9640113058361,0.0820747696627575,-60.0151096802474,1.83257878874723,30,27.1763738121481,9.57183138068381,0.0760002397942746,58.2945766543435
