Model,AIC_Value,ExactAge,AgeGroup,StudyID
EmoBias,248.393584577119,14.158904109589042,Adolescents,45
EmoHier,245.40883759434,14.158904109589042,Adolescents,45
EmoAvg,248.093710879713,14.158904109589042,Adolescents,45
Cong,257.532985001581,14.158904109589042,Adolescents,45
Cond,251.503918582303,14.158904109589042,Adolescents,45
CongBeta,250.73566233822,14.158904109589042,Adolescents,45
CondBeta,251.759312639973,14.158904109589042,Adolescents,45
Vanilla,251.890896737452,11.665753424657536,Children,46
EmoQ,252.408065187998,11.665753424657536,Children,46
EmoBias,253.201287789718,11.665753424657536,Children,46
EmoHier,252.02026008502,11.665753424657536,Children,46
EmoAvg,252.320821002772,11.665753424657536,Children,46
Cong,257.532985001581,11.665753424657536,Children,46
Cond,257.334661872267,11.665753424657536,Children,46
CongBeta,255.354077208215,11.665753424657536,Children,46
CondBeta,257.339032198773,11.665753424657536,Children,46
Vanilla,253.491665543528,15.326027397260274,Adolescents,47
EmoQ,250.776473316568,15.326027397260274,Adolescents,47
EmoBias,254.066747603103,15.326027397260274,Adolescents,47
EmoHier,256.273083991862,15.326027397260274,Adolescents,47
EmoAvg,254.438556019158,15.326027397260274,Adolescents,47
Cong,252.978626438867,15.326027397260274,Adolescents,47
Cond,254.171363176514,15.326027397260274,Adolescents,47
CongBeta,252.109158835638,15.326027397260274,Adolescents,47
CondBeta,253.972172466065,15.326027397260274,Adolescents,47
Vanilla,172.162067841125,9.865753424657534,Children,48
EmoQ,155.810451941073,9.865753424657534,Children,48
EmoBias,115.893393909828,9.865753424657534,Children,48
EmoHier,174.362670769697,9.865753424657534,Children,48
EmoAvg,115.393729418771,9.865753424657534,Children,48
Cong,142.226454641164,9.865753424657534,Children,48
Cond,147.230628740491,9.865753424657534,Children,48
CongBeta,142.589049329245,9.865753424657534,Children,48
CondBeta,144.172639855245,9.865753424657534,Children,48
Vanilla,252.450869477879,9.865753424657534,Children,49
EmoQ,247.938658620582,9.865753424657534,Children,49
EmoBias,248.962956163249,9.865753424657534,Children,49
EmoHier,249.80248127764,9.865753424657534,Children,49
EmoAvg,248.103602003316,9.865753424657534,Children,49
Cong,254.100140107991,9.865753424657534,Children,49
Cond,259.532985001581,9.865753424657534,Children,49
CongBeta,254.652457472016,9.865753424657534,Children,49
CondBeta,256.1472744083,9.865753424657534,Children,49
Vanilla,245.007402853856,15.227397260273971,Adolescents,50
EmoQ,177.702215602528,15.227397260273971,Adolescents,50
EmoBias,177.938456412138,15.227397260273971,Adolescents,50
EmoHier,198.063947871627,15.227397260273971,Adolescents,50
EmoAvg,176.595665724416,15.227397260273971,Adolescents,50
Cong,195.477754213738,15.227397260273971,Adolescents,50
Cond,191.061013801079,15.227397260273971,Adolescents,50
CongBeta,196.790540222264,15.227397260273971,Adolescents,50
CondBeta,191.855837749486,15.227397260273971,Adolescents,50
Vanilla,253.532985001581,8.04109589041096,Children,51
EmoQ,253.532989001603,8.04109589041096,Children,51
EmoBias,255.532985001584,8.04109589041096,Children,51
EmoHier,255.216041695226,8.04109589041096,Children,51
EmoAvg,254.04064107302,8.04109589041096,Children,51
Cong,257.532985001581,8.04109589041096,Children,51
Cond,259.418910029058,8.04109589041096,Children,51
CongBeta,257.418926709908,8.04109589041096,Children,51
CondBeta,259.452152252449,8.04109589041096,Children,51
Vanilla,203.688363457185,15.03013698630137,Adolescents,52
EmoQ,245.638409739468,15.03013698630137,Adolescents,52
EmoBias,203.917360173456,15.03013698630137,Adolescents,52
EmoHier,202.80308951438,15.03013698630137,Adolescents,52
EmoAvg,223.936626765266,15.03013698630137,Adolescents,52
Cong,167.203609107494,15.03013698630137,Adolescents,52
Cond,165.939964850003,15.03013698630137,Adolescents,52
CongBeta,168.304709119451,15.03013698630137,Adolescents,52
CondBeta,168.849848091768,15.03013698630137,Adolescents,52
Vanilla,58.4305302075343,22.775342465753425,Adults,53
EmoQ,63.9939034443308,22.775342465753425,Adults,53
EmoBias,72.029732714087,22.775342465753425,Adults,53
EmoHier,59.8802464704321,22.775342465753425,Adults,53
EmoAvg,48.2396963897903,22.775342465753425,Adults,53
Cong,61.6856069012703,22.775342465753425,Adults,53
Cond,61.2078271946931,22.775342465753425,Adults,53
CongBeta,58.9658526149041,22.775342465753425,Adults,53
CondBeta,60.9057969699174,22.775342465753425,Adults,53
Vanilla,209.721038992804,21.567123287671233,Adults,54
EmoQ,211.162007060734,21.567123287671233,Adults,54
EmoBias,210.451900209445,21.567123287671233,Adults,54
EmoHier,211.141398495568,21.567123287671233,Adults,54
EmoAvg,216.472558938353,21.567123287671233,Adults,54
Cong,198.202673560111,21.567123287671233,Adults,54
Cond,200.202673561645,21.567123287671233,Adults,54
CongBeta,207.020022259911,21.567123287671233,Adults,54
CondBeta,207.725810377721,21.567123287671233,Adults,54
Vanilla,210.455845040913,21.39452054794521,Adults,55
EmoQ,209.590497191237,21.39452054794521,Adults,55
EmoBias,210.471573125453,21.39452054794521,Adults,55
EmoHier,210.38346202206,21.39452054794521,Adults,55
EmoAvg,203.66770478992,21.39452054794521,Adults,55
Cong,204.194572964521,21.39452054794521,Adults,55
Cond,179.868296407522,21.39452054794521,Adults,55
CongBeta,205.334440123618,21.39452054794521,Adults,55
CondBeta,182.961813599992,21.39452054794521,Adults,55
Vanilla,234.719071120179,21.35890410958904,Adults,56
EmoQ,234.951280231411,21.35890410958904,Adults,56
EmoBias,234.620737055657,21.35890410958904,Adults,56
EmoHier,237.0023427625,21.35890410958904,Adults,56
EmoAvg,233.563930543476,21.35890410958904,Adults,56
Cong,238.153776892722,21.35890410958904,Adults,56
Cond,239.367345063739,21.35890410958904,Adults,56
CongBeta,238.118341430627,21.35890410958904,Adults,56
CondBeta,239.560208361167,21.35890410958904,Adults,56
