Model,Pseudor_Value,ExactAge,AgeGroup,StudyID
EmoHier,0.069561159920343,15.413698630136986,Adolescents,82
EmoAvg,0.0649330384952036,15.413698630136986,Adolescents,82
Cong,0.0384579621217557,15.413698630136986,Adolescents,82
Cond,0.0421509714972703,15.413698630136986,Adolescents,82
CongBeta,0.0415116844302135,15.413698630136986,Adolescents,82
CondBeta,0.0491695850613845,15.413698630136986,Adolescents,82
Random,-124.76649250079,16.794520547945204,Adolescents,83
Vanilla,0.291833580473339,16.794520547945204,Adolescents,83
EmoQ,0.263567024356477,16.794520547945204,Adolescents,83
EmoBias,0.296174148904544,16.794520547945204,Adolescents,83
EmoHier,0.291833580186468,16.794520547945204,Adolescents,83
EmoAvg,0.282357428334421,16.794520547945204,Adolescents,83
Cong,0.32485178240607,16.794520547945204,Adolescents,83
Cond,0.330374717487649,16.794520547945204,Adolescents,83
CongBeta,0.322898249594328,16.794520547945204,Adolescents,83
CondBeta,0.326984012005212,16.794520547945204,Adolescents,83
Random,-124.76649250079,15.123287671232877,Adolescents,84
Vanilla,0.00927550049287662,15.123287671232877,Adolescents,84
EmoQ,0.16399549933413,15.123287671232877,Adolescents,84
EmoBias,0.194895619657866,15.123287671232877,Adolescents,84
EmoHier,0.188517522824919,15.123287671232877,Adolescents,84
EmoAvg,0.175508616450773,15.123287671232877,Adolescents,84
Cong,-1.77635683940025e-15,15.123287671232877,Adolescents,84
Cond,0.0157926892023119,15.123287671232877,Adolescents,84
CongBeta,0.0901760375552169,15.123287671232877,Adolescents,84
CondBeta,0.100822270310514,15.123287671232877,Adolescents,84
Random,-124.76649250079,17.068493150684933,Adolescents,85
Vanilla,0.00191011242869343,17.068493150684933,Adolescents,85
EmoQ,0.00327463676520456,17.068493150684933,Adolescents,85
EmoBias,0.00402488358690545,17.068493150684933,Adolescents,85
EmoHier,0.0137207456720175,17.068493150684933,Adolescents,85
EmoAvg,0.0149876089948418,17.068493150684933,Adolescents,85
Cong,0.0059003454071489,17.068493150684933,Adolescents,85
Cond,0.0059003472823359,17.068493150684933,Adolescents,85
CongBeta,0.00586168476651072,17.068493150684933,Adolescents,85
CondBeta,0.00546280947400646,17.068493150684933,Adolescents,85
Random,-124.76649250079,15.75890410958904,Adolescents,86
Vanilla,0.332457800410055,15.75890410958904,Adolescents,86
EmoQ,0.289397437389728,15.75890410958904,Adolescents,86
EmoBias,0.30793364517509,15.75890410958904,Adolescents,86
EmoHier,0.347050289292999,15.75890410958904,Adolescents,86
EmoAvg,0.282918192342719,15.75890410958904,Adolescents,86
Cong,0.353614219492992,15.75890410958904,Adolescents,86
Cond,0.362209118738039,15.75890410958904,Adolescents,86
CongBeta,0.352333601031069,15.75890410958904,Adolescents,86
CondBeta,0.352412809629737,15.75890410958904,Adolescents,86
Random,-124.76649250079,15.756164383561645,Adolescents,87
Vanilla,0.241855737765003,15.756164383561645,Adolescents,87
EmoQ,0.189329619243525,15.756164383561645,Adolescents,87
EmoBias,0.220011286739477,15.756164383561645,Adolescents,87
EmoHier,0.224856363655409,15.756164383561645,Adolescents,87
EmoAvg,0.183187464357217,15.756164383561645,Adolescents,87
Cong,0.249311831248107,15.756164383561645,Adolescents,87
Cond,0.267906133146007,15.756164383561645,Adolescents,87
CongBeta,0.253756140202547,15.756164383561645,Adolescents,87
CondBeta,0.253968909341496,15.756164383561645,Adolescents,87
Random,-124.76649250079,16.695890410958903,Adolescents,88
Vanilla,0.555619325334673,16.695890410958903,Adolescents,88
EmoQ,0.333435786523116,16.695890410958903,Adolescents,88
EmoBias,0.47883139942077,16.695890410958903,Adolescents,88
EmoHier,0.555619324448613,16.695890410958903,Adolescents,88
EmoAvg,0.371399834328693,16.695890410958903,Adolescents,88
Cong,0.605689544255878,16.695890410958903,Adolescents,88
Cond,0.610136687985878,16.695890410958903,Adolescents,88
CongBeta,0.592007884407733,16.695890410958903,Adolescents,88
CondBeta,0.598688388780218,16.695890410958903,Adolescents,88
Random,-124.76649250079,16.654794520547945,Adolescents,89
Vanilla,0.405996977466745,16.654794520547945,Adolescents,89
EmoQ,0.329068976961691,16.654794520547945,Adolescents,89
EmoBias,0.405829614399892,16.654794520547945,Adolescents,89
EmoHier,0.405902455740423,16.654794520547945,Adolescents,89
EmoAvg,0.405500777245445,16.654794520547945,Adolescents,89
Cong,0.409018251769657,16.654794520547945,Adolescents,89
Cond,0.411870519403371,16.654794520547945,Adolescents,89
CongBeta,0.409171916099632,16.654794520547945,Adolescents,89
CondBeta,0.41129080128381,16.654794520547945,Adolescents,89
Random,-124.76649250079,11.575342465753424,Children,90
Vanilla,-1.77635683940025e-15,11.575342465753424,Children,90
EmoQ,0.039277738740055,11.575342465753424,Children,90
EmoBias,0.105083193652503,11.575342465753424,Children,90
EmoHier,0.121746466617061,11.575342465753424,Children,90
EmoAvg,0.0594520714042283,11.575342465753424,Children,90
Cong,0.168250899514381,11.575342465753424,Children,90
Cond,0.233371906398432,11.575342465753424,Children,90
CongBeta,0.141486262381807,11.575342465753424,Children,90
CondBeta,0.244144164749926,11.575342465753424,Children,90
Random,-124.76649250079,13.164383561643836,Adolescents,91
Vanilla,0.0604581452124817,13.164383561643836,Adolescents,91
EmoQ,0.0672850504642019,13.164383561643836,Adolescents,91
EmoBias,0.0706427414147039,13.164383561643836,Adolescents,91
EmoHier,0.0945525947837276,13.164383561643836,Adolescents,91
EmoAvg,0.0640915602094861,13.164383561643836,Adolescents,91
Cong,0.0872846604520021,13.164383561643836,Adolescents,91
Cond,0.170547787163019,13.164383561643836,Adolescents,91
CongBeta,0.0959477240056201,13.164383561643836,Adolescents,91
CondBeta,0.167354279777362,13.164383561643836,Adolescents,91
Random,-124.76649250079,17.068493150684933,Adolescents,92
Vanilla,0.496671312546869,17.068493150684933,Adolescents,92
EmoQ,0.26722713409548,17.068493150684933,Adolescents,92
EmoBias,0.344121923531353,17.068493150684933,Adolescents,92
EmoHier,0.491692463852079,17.068493150684933,Adolescents,92
EmoAvg,0.384686622564064,17.068493150684933,Adolescents,92
Cong,0.528674155717741,17.068493150684933,Adolescents,92
Cond,0.53311337228141,17.068493150684933,Adolescents,92
CongBeta,0.52237493755307,17.068493150684933,Adolescents,92
CondBeta,0.53303751236265,17.068493150684933,Adolescents,92
Random,-124.76649250079,16.578082191780823,Adolescents,93
Vanilla,0.754509479349124,16.578082191780823,Adolescents,93
EmoQ,0.602496487706923,16.578082191780823,Adolescents,93
EmoBias,0.770000417209971,16.578082191780823,Adolescents,93
EmoHier,0.768112464542342,16.578082191780823,Adolescents,93
EmoAvg,0.522793736793704,16.578082191780823,Adolescents,93
Cong,0.755583823644534,16.578082191780823,Adolescents,93
Cond,0.79343836789124,16.578082191780823,Adolescents,93
CongBeta,0.756686363578568,16.578082191780823,Adolescents,93
CondBeta,0.762186858594709,16.578082191780823,Adolescents,93
Random,-124.76649250079,14.076712328767124,Adolescents,94
Vanilla,0.827782088039708,14.076712328767124,Adolescents,94
EmoQ,0.275588589110506,14.076712328767124,Adolescents,94
EmoBias,0.843292737052602,14.076712328767124,Adolescents,94
EmoHier,0.747216888421492,14.076712328767124,Adolescents,94
EmoAvg,0.395421464628378,14.076712328767124,Adolescents,94
Cong,0.838410212230804,14.076712328767124,Adolescents,94
Cond,0.842665273190913,14.076712328767124,Adolescents,94
CongBeta,0.849430871293669,14.076712328767124,Adolescents,94
CondBeta,0.849430871294195,14.076712328767124,Adolescents,94
Random,-124.76649250079,8.07945205479452,Children,95
Vanilla,0.128657390863776,8.07945205479452,Children,95
EmoQ,0.128689276242437,8.07945205479452,Children,95
EmoBias,0.152738781965121,8.07945205479452,Children,95
EmoHier,0.178333318438867,8.07945205479452,Children,95
EmoAvg,0.253081486287779,8.07945205479452,Children,95
Cong,0.326918908162917,8.07945205479452,Children,95
Cond,0.329382422869929,8.07945205479452,Children,95
CongBeta,0.323089134752291,8.07945205479452,Children,95
CondBeta,0.324422724533131,8.07945205479452,Children,95
Random,-124.76649250079,20.48493150684931,Adults,96
Vanilla,0.443196455499109,20.48493150684931,Adults,96
EmoQ,0.322690347709794,20.48493150684931,Adults,96
EmoBias,0.386978379398414,20.48493150684931,Adults,96
EmoHier,0.457202925831839,20.48493150684931,Adults,96
EmoAvg,0.342085412898029,20.48493150684931,Adults,96
Cong,0.452275939055161,20.48493150684931,Adults,96
Cond,0.452912831109007,20.48493150684931,Adults,96
CongBeta,0.452355900691279,20.48493150684931,Adults,96
CondBeta,0.45348451559516,20.48493150684931,Adults,96
Random,-124.76649250079,11.484931506849316,Children,97
Vanilla,0.420951534847876,11.484931506849316,Children,97
EmoQ,0.222498500732859,11.484931506849316,Children,97
EmoBias,0.325995367121572,11.484931506849316,Children,97
EmoHier,0.438077931413813,11.484931506849316,Children,97
EmoAvg,0.239159139265135,11.484931506849316,Children,97
Cong,0.428137247546341,11.484931506849316,Children,97
Cond,0.428138603685139,11.484931506849316,Children,97
CongBeta,0.428209297322419,11.484931506849316,Children,97
CondBeta,0.428211606391895,11.484931506849316,Children,97
Random,-124.76649250079,10.73972602739726,Children,98
