Model,BIC_Value,ExactAge,AgeGroup,StudyID
Cong,164.986134288851,19.183561643835617,Adults,6
Cond,170.152314288797,19.183561643835617,Adults,6
CongBeta,165.997004090847,19.183561643835617,Adults,6
CondBeta,171.149532356189,19.183561643835617,Adults,6
Vanilla,259.918898703361,18.117808219178084,Adults,7
EmoQ,257.059278489836,18.117808219178084,Adults,7
EmoBias,257.696122299663,18.117808219178084,Adults,7
EmoHier,265.265823136002,18.117808219178084,Adults,7
EmoAvg,262.14911920198,18.117808219178084,Adults,7
Cong,270.304812405142,18.117808219178084,Adults,7
Cond,271.911020248279,18.117808219178084,Adults,7
CongBeta,267.534108570495,18.117808219178084,Adults,7
CondBeta,271.858716090575,18.117808219178084,Adults,7
Vanilla,259.918898703361,19.03835616438356,Adults,8
EmoQ,188.725696195371,19.03835616438356,Adults,8
EmoBias,203.135140305217,19.03835616438356,Adults,8
EmoHier,208.328097174473,19.03835616438356,Adults,8
EmoAvg,202.956832462077,19.03835616438356,Adults,8
Cong,241.867699428829,19.03835616438356,Adults,8
Cond,199.110003759858,19.03835616438356,Adults,8
CongBeta,242.522879177418,19.03835616438356,Adults,8
CondBeta,198.914775074526,19.03835616438356,Adults,8
Vanilla,255.41995772916,18.471232876712328,Adults,9
EmoQ,248.936336940344,18.471232876712328,Adults,9
EmoBias,249.882142838723,18.471232876712328,Adults,9
EmoHier,259.301671717047,18.471232876712328,Adults,9
EmoAvg,253.704440173301,18.471232876712328,Adults,9
Cong,257.494736533367,18.471232876712328,Adults,9
Cond,262.687693351882,18.471232876712328,Adults,9
CongBeta,257.841312913068,18.471232876712328,Adults,9
CondBeta,263.034269764539,18.471232876712328,Adults,9
Vanilla,247.547188990216,20.361643835616437,Adults,10
EmoQ,234.854508821022,20.361643835616437,Adults,10
EmoBias,248.924738446312,20.361643835616437,Adults,10
EmoHier,242.312697047225,20.361643835616437,Adults,10
EmoAvg,249.474255065233,20.361643835616437,Adults,10
Cong,235.281069327013,20.361643835616437,Adults,10
Cond,223.535047324547,20.361643835616437,Adults,10
CongBeta,235.247531885549,20.361643835616437,Adults,10
CondBeta,224.145500916301,20.361643835616437,Adults,10
Vanilla,250.878558067959,20.676712328767124,Adults,11
EmoQ,240.579678902323,20.676712328767124,Adults,11
EmoBias,244.444056906049,20.676712328767124,Adults,11
EmoHier,261.326191608929,20.676712328767124,Adults,11
EmoAvg,241.558991118459,20.676712328767124,Adults,11
Cong,270.304812405142,20.676712328767124,Adults,11
Cond,275.497769256032,20.676712328767124,Adults,11
CongBeta,261.079013730416,20.676712328767124,Adults,11
CondBeta,260.986593957148,20.676712328767124,Adults,11
Vanilla,253.412360705078,14.942465753424658,Adolescents,12
EmoQ,238.627810364323,14.942465753424658,Adolescents,12
EmoBias,220.386754792086,14.942465753424658,Adolescents,12
EmoHier,251.804482946575,14.942465753424658,Adolescents,12
EmoAvg,257.333520551001,14.942465753424658,Adolescents,12
Cong,173.451432846002,14.942465753424658,Adolescents,12
Cond,178.005745879341,14.942465753424658,Adolescents,12
CongBeta,173.451442271179,14.942465753424658,Adolescents,12
CondBeta,177.874095172931,14.942465753424658,Adolescents,12
Vanilla,259.918898703361,20.65205479452055,Adults,13
EmoQ,259.918903703389,20.65205479452055,Adults,13
EmoBias,265.111860554254,20.65205479452055,Adults,13
EmoHier,268.811195579466,20.65205479452055,Adults,13
EmoAvg,265.111857554253,20.65205479452055,Adults,13
Cong,270.304812405142,20.65205479452055,Adults,13
Cond,271.29663740284,20.65205479452055,Adults,13
CongBeta,266.347287286167,20.65205479452055,Adults,13
CondBeta,271.348970205916,20.65205479452055,Adults,13
Vanilla,244.498752119108,13.69041095890411,Adolescents,16
EmoQ,216.253423798506,13.69041095890411,Adolescents,16
EmoBias,219.157907151178,13.69041095890411,Adolescents,16
EmoHier,235.342809097627,13.69041095890411,Adolescents,16
EmoAvg,214.29844583037,13.69041095890411,Adolescents,16
